YEAR,DESCRIPTION,Number of Aircraft
2007-08,Airbus 300,3
2007-08,Airbus 310 FREIGHT,2
2007-08,Airbus 310,13
2007-08,Airbus 319,11
2007-08,Airbus 320,48
2007-08,Airbus 321,6
2007-08,Airbus 330,2
2007-08,ATR 42-320,7
2007-08,Boeing 737/200,11
2007-08,Boeing 747-300,1
2007-08,Boeing 747-400,8
2007-08,Boeing 747-800,18
2007-08,Boeing 777-200,5
2007-08,Boeing 777-222,4
2007-08,Boeing 777-300,3
2007-08,CRJ-700,2
2007-08,Dornier DO228,2
2007-08,Total,146
2008-09,Airbus A-310 FREIGHT,2
2008-09,Airbus A-310,8
2008-09,Airbus 319,15
2008-09,Airbus 320,43
2008-09,Airbus 321,12
2008-09,Airbus 330,2
2008-09,ATR 42-320,7
2008-09,Boeing B-737/200,6
2008-09,Boeing 747-300,1
2008-09,Boeing 747-400 (Boeing 747-437),6
2008-09,Boeing 747-800,21
2008-09,Boeing 777-200,5
2008-09,Boeing 777-222,4
2008-09,Boeing 777-300,5
2008-09,CRJ-700,3
2008-09,Total,140
2009-10,Airbus A-310 FREIGHT,1
2009-10,Airbus A-310,6
2009-10,Airbus 319,24
2009-10,Airbus 320,31
2009-10,Airbus 321,19
2009-10,Airbus 330,2
2009-10,ATR 42-320,7
2009-10,Boeing 737/200,6
2009-10,Boeing 747-400 (Boeing 747-437),6
2009-10,Boeing 747-800,25
2009-10,Boeing 777-200,8
2009-10,Boeing 777-222,3
2009-10,Boeing 777-300,9
2009-10,CRJ-700,4
2009-10,Total,151
2010-11,Airbus 310,6
2010-11,Airbus 319,24
2010-11,Airbus 320,31
2010-11,Airbus 321,20
2010-11,Airbus 330,2
2010-11,ATR 42-320,4
2010-11,Boeing 737/200,6
2010-11,Boeing 747-400 (Boeing 747-437),3
2010-11,Boeing 777-200LR,8
2010-11,Boeing 777-300ER,12
2010-11,CRJ-700,4
2010-11,Total,120
2011-12,Airbus 310,3
2011-12,Airbus 319,24
2011-12,Airbus 320,20
2011-12,Airbus 321,20
2011-12,Airbus 330,2
2011-12,ATR 42-320,7
2011-12,Boeing 747 - 400,2
2011-12,Boeing 747-437,3
2011-12,Boeing 747-800,21
2011-12,Boeing 777-200LR,8
2011-12,Boeing 777- 300 ER,12
2011-12,CRJ-700,4
2011-12,Total,126
2012-13,Airbus 319,22
2012-13,Airbus 320,18
2012-13,Airbus 321,20
2012-13,Airbus 330,2
2012-13,ATR 42-320,4
2012-13,Boeing 747-400,3
2012-13,Boeing 747-800,21
2012-13,Boeing 777-200LR,6
2012-13,Boeing 777- 300 ER,12
2012-13,Boeing 787,13
2012-13,CRJ-700,4
2012-13,Total,125
2013-14,Airbus 319,22
2013-14,Airbus 320,18
2013-14,Airbus 321,20
2013-14,Airbus 330,2
2013-14,ATR 42-320,4
2013-14,Boeing 747-400,3
2013-14,Boeing 747-800,21
2013-14,Boeing 777-200LR,6
2013-14,Boeing 777- 300 ER,12
2013-14,Boeing 787,13
2013-14,CRJ-700,4
2013-14,Total,125
2014-15,Airbus 319,22
2014-15,Airbus 320,20
2014-15,Airbus 321,20
2014-15,ATR 42-320,4
2014-15,ATR 72-212A,2
2014-15,Boeing 747-400,5
2014-15,Boeing 747-800,17
2014-15,Boeing 777-200LR,3
2014-15,Boeing 777- 300 ER,12
2014-15,Boeing 787,19
2014-15,CRJ-700,4
2014-15,Total,128
2015-16,Airbus 319,22
2015-16,Airbus 320,24
2015-16,Airbus 321,20
2015-16,ATR 42-320,3
2015-16,ATR-72-212A(600),5
2015-16,Boeing 737-800,18
2015-16,Boeing747-400,5
2015-16,Boeing777-200LR,3
2015-16,Boeing 777-300ER,12
2015-16,Boeing 787,21
2015-16,CRJ-700,3
2015-16,Total,136
2016-17,777-200LR,3
2016-17,777-300ER,12
2016-17,A-319,22
2016-17,A-320,26
2016-17,A-321,20
2016-17,ATR 42-320,2
2016-17,ATR-72-212A,8
2016-17,B-787,23
2016-17,BOEING 747-400,5
2016-17,Boeing B 737- 800,23
2016-17,CRJ-700,1
2016-17,Total,145
