AIRCRAFT TYPE,NUMBER OF AIRCRAFT - AT BEGINNING OF YEAR,NUMBER OF AIRCRAFT - ACQUIRED,NUMBER OF AIRCRAFT - DISPOSED OFF,NUMBER OF AIRCRAFT - AT THE END OF YEAR,SIZE - NO. OF INSTALLED PAX. SEATS,SIZE - AV. PAYLOAD CAPACITY (TONNES),SIZE - AV. M.C.T.OM WEIGHT (IN TONNE),UTILIZATION OF AIRCRAFT - NUMBER OF DEPARTURES - SCHEDULED REVENUE,UTILIZATION OF AIRCRAFT - NUMBER OF DEPARTURES - NON-SCHEDULED REVENUE,UTILIZATION OF AIRCRAFT - NUMBER OF DEPARTURES - TOTAL (INCLUSIVE OF NON REVENUE),UTILIZATION OF AIRCRAFT - NUMBER OF HOURS FLOWN - SCHEDULED REVENUE,UTILIZATION OF AIRCRAFT - NUMBER OF HOURS FLOWN - NON-SCHEDULED REVENUE,UTILIZATION OF AIRCRAFT - NUMBER OF HOURS FLOWN - TOTAL (INCLUSIVE OF NON REVENUE),AVERAGE DAILY REVENUE HOURS PER AIRCRAFT **
737 - 700,2,0,0,2,149,1,62,5422,0,5422,7047,0,7047,9.7
737 - 800,21,10,5,26,189,14,79,54892,2,54894,93878,2,93880,9.9
737 - 900 ER,4,0,0,4,212,9,76,9281,0,9281,16222,0,16222,11.1
777-200LR,3,NA,NA,3,238,41,347,1504,0,1504,12499,0,12499,11.4
777-300ER,12,NA,NA,12,342,58,351,6594,31,6625,48126,90,48216,11
A 320,2,0,2,0,180,15,77,624,0,624,1151,0,1151,NA
A 330- 200 / 300,12,0,3,9,293,43,233,7009,2,7011,39723,12,39735,12.1
A319,1,0,1,0,150,10,70,441,0,441,591,0,591,NA
A-319,22,NA,NA,22,0,13,70,44840,1385,46225,77537,2006,79543,9.9
A-320,24,2,NA,26,0,16,76,33131,998,34129,69720,1415,71135,7.5
A320-200,107,24,0,131,180,19,74,300526,0,300526,558565,0,558565,11.7
A-321,20,NA,NA,20,182,21,89,39703,62,39765,87924,115,88039,12.1
AIRBUS A320,25,8,2,31,180,30,147,73337,0,73337,127397,0,127397,11.3
Airbus Industrie,13,0,0,13,158,NA,NA,23982,12,23994,40739,91,40830,8.6
ATR 42-320,2,0,0,2,47,1,17,3734,17,3751,4363,9,4372,6
ATR 72 - 500 / 600,18,0,0,18,72,6,23,47831,23,47854,60501,39,60540,9.2
ATR 72-212 A / VT-TMC,0,1,0,1,70,8,23,118,0,118,157,0,157,0.4
ATR 72-212 A / VT-TMK,1,NA,0,1,72,8,23,2218,0,2218,2748,0,2748,7.5
ATR 72-212 A / VT-TMP,1,NA,0,1,72,8,23,2649,0,2649,2812,0,2812,7.7
ATR 72-212 A / VT-TMU,0,1,0,1,70,8,23,2696,0,2696,2886,0,2886,7.9
ATR-72-212A,6,2,0,8,0,4,23,10336,92,10428,13184,42,13226,4.5
B- 737 - 800,60,1,2,59,168,17,0,126466,537,127003,289271,749,290020,13.5
B- 737 - 900,6,1,1,6,184,19,74,10730,1,10731,29597,4,29601,13.5
B 777- 300 ER,10,0,0,10,346,55,0,4601,0,4601,34204,0,34204,9.4
B-737 - 700,2,0,0,2,134,13,60,4996,116,5112,7367,117,7484,10.3
B-787,21,2,NA,23,256,35,228,18233,0,18233,100625,0,100625,12
Boeing 737 - 700,3,0,0,3,134,14,62,10038,3,10041,14004,2,14006,12.8
Boeing 737 - 800,5,0,0,5,168,17,71,13621,11,13632,24495,6,24501,13.4
BOEING 747-400,5,NA,NA,5,423,53,378,1180,0,1180,4605,0,4605,2.5
BOEING 757- 200,6,0,0,6,0,36,109,6244,96,6340,8727,126,8853,4
Boeing B 737- 800,17,6,NA,23,0,0,9,26084,0,26084,83495,0,83495,9.9
CRJ-700,3,0,2,1,70,5,34,1226,56,1282,1730,64,1794,4.9
DH8,13,4,0,17,78,6,29,44545,0,44545,44713,0,44713,7.2
BOMBARDIER CRJ-200(CL-600-2B19),0,1,0,1,50,4,24,136,12,148,187,12,199,0.5
BOEING 737- 400SF,1,0,0,1,4,20,68,141,224,365,338,493,831,2.3
Grand Total,448,63,18,493,NA,NA,NA,939109,3680,942789,1911128,5394,1916522,10.7
