States/UTs,Traffic Light Signal - Total number of Accidents,Traffic Light Signal - Persons Killed,Traffic Light Signal - Persons Injured - Greviously Injured,Traffic Light Signal - Persons Injured - Minor Injury,Traffic Light Signal - Persons Injured - Total Injured,Police Controlled - Total number of Accidents,Police Controlled - Persons Killed,Police Controlled - Persons Injured - Greviously Injured,Police Controlled - Persons Injured - Minor Injury,Police Controlled - Persons Injured - Total Injured,Stop Sign - Total number of Accidents,Stop Sign - Persons Killed,Stop Sign - Persons Injured - Greviously Injured,Stop Sign - Persons Injured - Minor Injury,Stop Sign - Persons Injured - Total Injured,Flashing Signal/Blinker - Total number of Accidents,Flashing Signal/Blinker - Persons Killed,Flashing Signal/Blinker - Persons Injured - Greviously Injured,Flashing Signal/Blinker - Persons Injured - Minor Injury,Flashing Signal/Blinker - Persons Injured - Total Injured,Uncontrolled - Total number of Accidents - Number,Uncontrolled - Total number of Accidents - Rank,Uncontrolled - Persons Killed - Number,Uncontrolled - Persons Killed - Rank,Uncontrolled - Persons Injured - Greviously Injured,Uncontrolled - Persons Injured - Minor Injury,Uncontrolled - Persons Injured - Total Injured,Others - Total number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
Andhra Pradesh,1197,329,484,694,1178,847,222,260,509,769,670,277,246,424,670,314,129,104,166,270,4519,8,1699,6,1256,3198,4454,14445,5328,3940,13338,17278
Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,40,43,39,82,91,26,48,22,50,46,96,74,39,73,58,131
Assam,107,31,77,7,84,176,49,117,20,137,98,27,73,6,79,88,8,116,0,116,1163,17,413,17,834,145,979,6718,2680,5237,841,6078
Bihar,0,0,0,0,0,165,98,122,8,130,0,0,0,0,0,0,0,0,0,0,1363,16,877,13,745,70,815,8479,6230,6005,256,6261
Chhattisgarh,167,24,35,78,113,178,46,23,163,186,80,24,8,44,52,85,22,16,55,71,2856,11,972,12,430,1625,2055,10533,3915,2039,8574,10613
Goa,45,4,0,6,6,67,5,1,13,14,1,0,0,1,1,0,0,0,0,0,313,21,23,24,17,70,87,3014,265,247,1093,1340
Gujarat,208,46,108,96,204,402,141,199,196,395,144,54,94,75,169,82,22,42,25,67,4659,7,2123,4,2578,1942,4520,11551,5004,6486,4417,10903
Haryana,266,127,152,130,282,228,117,140,93,233,271,128,135,117,252,334,181,140,112,252,1122,18,451,16,217,573,790,8723,4053,2115,5438,7553
Himachal Pradesh,2,1,0,2,2,8,0,3,5,8,1,0,0,2,2,3,2,1,0,1,58,27,17,26,30,73,103,2801,1126,1298,3490,4788
Jammu and Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1573,14,274,20,1261,1146,2407,4223,722,2963,2162,5125
Jharkhand,262,186,121,37,158,252,181,204,27,231,243,179,124,31,155,166,128,79,16,95,1022,19,644,15,490,121,611,3272,2483,1986,582,2568
Karnataka,733,113,429,308,737,1080,150,604,479,1083,203,34,125,96,221,358,63,216,187,403,6756,5,1504,8,4232,2896,7128,31528,9094,21349,19526,40875
Kerala,858,103,648,240,888,1471,119,1133,400,1533,210,16,198,42,240,474,81,363,160,523,11160,3,1031,10,9091,3377,12468,26938,3090,21137,9266,30403
Madhya Pradesh,348,4,14,300,314,222,35,14,158,172,512,48,57,428,485,246,32,37,201,238,15079,1,2621,2,1740,13221,14961,34262,8509,5449,31197,36646
Maharashtra,666,118,405,201,606,241,47,138,54,192,276,63,146,71,217,161,36,99,53,152,2555,12,1017,11,1491,678,2169,29026,11507,16873,8419,25292
Manipur,9,1,0,14,14,19,3,7,26,33,6,0,0,8,8,7,0,2,14,16,123,22,23,24,37,140,177,508,129,238,569,807
Meghalaya,1,1,0,0,0,2,2,1,0,1,0,0,0,0,0,6,5,2,0,2,105,24,45,23,24,18,42,368,126,90,87,177
Mizoram,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,33,8,28,5,15,20,46,38,6,30,36
Nagaland,1,0,3,0,3,13,3,4,9,13,0,0,0,0,0,0,0,0,0,0,33,28,5,31,20,15,35,311,18,63,132,195
Orissa,452,200,256,123,379,494,213,278,125,403,364,167,201,85,286,197,84,130,71,201,1776,13,769,14,982,666,1648,7781,3900,4468,3792,8260
Punjab,660,499,310,96,406,497,339,176,79,255,569,409,214,64,278,407,296,209,71,280,527,20,303,19,185,42,227,3688,2679,1561,805,2366
Rajasthan,338,75,106,172,278,184,45,51,155,206,48,11,13,27,40,70,16,33,20,53,3902,9,1533,7,1049,2700,3749,18938,8883,5449,13204,18653
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,2,34,0,7,7,160,71,134,177,311
Tamil Nadu,647,126,140,596,736,302,79,57,272,329,540,110,90,476,566,1317,314,208,1070,1278,5840,6,1108,9,663,6199,6862,48582,8788,3718,53648,57366
Telangana,629,126,45,529,574,317,77,35,266,301,135,30,9,104,113,263,56,15,207,222,8432,4,2281,3,772,7581,8353,11794,4394,2002,10434,12436
Tripura,0,0,0,0,0,13,5,19,0,19,0,0,0,0,0,0,0,0,0,0,29,30,6,30,32,2,34,613,228,756,7,763
Uttarakhand,11,5,9,4,13,29,12,19,9,28,0,0,0,0,0,1,1,0,0,0,122,23,67,21,80,17,97,1189,782,1088,231,1319
Uttar Pradesh,869,385,384,292,676,2048,1010,853,564,1417,1548,709,653,435,1088,1250,625,525,315,840,12580,2,6556,1,5146,2928,8074,24277,13370,10942,5895,16837
West Bengal,345,128,317,39,356,942,440,775,145,920,153,72,137,24,161,50,39,34,19,53,3171,10,1892,5,2451,477,2928,5497,2929,4671,668,5339
Andaman and Nicobar Island,0,0,0,0,0,10,0,4,5,9,0,0,0,0,0,0,0,0,0,0,28,31,3,32,9,16,25,192,17,61,112,173
Chandigarh,58,18,3,80,83,1,0,2,0,2,0,0,0,0,0,9,4,0,11,11,16,32,3,32,0,11,11,221,79,12,156,168
Dadra and Nagar Haveli,35,28,33,0,33,17,11,25,0,25,0,0,0,0,0,0,0,0,0,0,0,35,0,35,0,0,0,16,10,32,15,47
Daman and Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,29,10,27,18,8,26,39,18,30,18,48
Delhi,623,136,90,521,611,136,34,18,102,120,227,46,25,188,213,144,33,21,102,123,1543,15,391,18,193,1202,1395,2937,823,431,2259,2690
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35,0,0,0,1,0,1,0,1
Puducherry,180,25,58,98,156,61,16,42,48,90,162,35,69,93,162,135,5,53,92,145,95,25,8,28,57,79,136,759,58,345,585,930
Total,9719,2839,4227,4663,8890,10425,3501,5324,3930,9254,6461,2439,2617,2841,5458,6239,2222,2488,3006,5494,92654,NA,28727,NA,36185,51304,87489,323504,111385,133295,201481,334776
