State/UT,Less than 18 years - Male,Less than 18 years - Female,18-25 Years - Male,18-25 Years - Female,25-35 Years - Male,25-35 Years - Female,35-45 Years - Male,35-45 Years - Female,45-60 Years - Male,45-60 Years - Female,60 and Above - Male,60 and Above - Female,Age not known - Male,Age not known - Female
Andhra Pradesh,192,61,493,119,534,147,506,178,294,143,146,49,17,11
Arunachal Pradesh,0,0,7,4,17,6,11,3,2,4,0,0,0,0
Assam,69,15,288,47,333,43,257,39,156,16,36,7,32,7
Bihar,285,86,515,112,649,167,612,165,439,125,232,50,0,0
Chhattisgarh,146,54,353,73,365,114,243,89,134,63,63,25,14,10
Goa,2,2,4,3,8,2,8,4,5,5,5,4,0,0
Gujarat,140,56,475,153,645,218,620,209,321,121,64,47,8,11
Haryana,64,23,191,49,243,58,175,55,93,42,45,16,134,45
Himachal Pradesh,34,19,87,24,85,21,53,17,44,29,20,10,0,0
Jammu and Kashmir,50,26,176,64,177,30,0,7,2,1,0,0,8,0
Jharkhand,191,16,252,44,201,56,178,32,133,33,129,37,127,36
Karnataka,188,100,637,153,960,245,973,278,523,216,176,76,0,0
Kerala,77,25,182,22,107,23,91,44,117,121,94,93,8,6
Madhya Pradesh,329,120,935,162,1057,309,855,287,551,193,199,62,106,24
Maharashtra,134,36,609,149,812,248,733,249,430,157,124,33,82,12
Manipur,1,1,5,1,14,2,16,4,4,1,1,0,0,0
Meghalaya,0,0,1,2,20,14,23,12,7,5,1,0,0,0
Mizoram,4,0,3,0,4,0,1,0,0,0,0,0,0,0
Nagaland,0,0,6,0,1,0,0,0,0,0,0,0,0,0
Orissa,110,29,443,95,633,104,410,80,252,59,74,16,36,1
Punjab,95,268,265,353,198,159,102,189,110,50,153,29,0,0
Rajasthan,211,89,1105,237,1227,295,832,187,412,75,64,13,0,1
Sikkim,1,1,9,1,13,3,7,1,5,0,1,0,0,0
Tamil Nadu,730,123,974,178,951,197,892,213,823,130,134,61,0,0
Telangana,107,41,411,101,637,197,518,175,318,120,121,43,8,1
Tripura,5,0,9,2,15,3,14,6,21,3,4,0,0,0
Uttarakhand,25,9,37,8,74,23,54,15,36,13,14,5,6,1
Uttar Pradesh,931,320,1838,533,1807,459,1523,447,1038,258,429,106,220,61
West Bengal,42,16,161,30,195,51,170,37,150,35,55,12,21,7
Andaman and Nicobar Islands,0,0,2,1,0,0,1,1,0,0,0,0,0,0
Chandigarh,0,1,3,1,2,2,2,0,0,0,0,0,0,0
Dadra and Nagar Haveli,1,0,3,0,3,2,1,1,0,0,0,0,0,0
Daman and Diu,1,0,0,0,4,0,1,0,1,0,0,0,0,0
Delhi,14,5,51,20,59,13,68,12,34,15,14,1,7,3
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,0,0,6,2,5,3,6,0,7,1,0,0,0,0
Total ,4179,1542,10536,2743,12055,3214,9956,3036,6462,2034,2398,795,834,237
