State/UT,Less than 18 years - Killed - Male,Less than 18 years - Killed - Female,18-25 Years - Killed - Male,18-25 Years - Killed - Female,25-35 Years - Killed - Male,25-35 Years - Killed - Female,35-45 Years - Killed - Male,35-45 Years - Killed - Female,45-60 Years - Killed - Male,45-60 Years - Killed - Female,60 and Above - Killed - Male,60 and Above - Killed - Female,Age not known - Killed - Male,Age not known - Killed - Female
Andhra pradesh,63,26,124,41,261,58,302,71,333,105,231,84,17,7
Arunachal Pradesh,0,0,0,0,3,1,3,1,0,0,0,0,0,0
Assam,59,14,117,26,145,29,130,26,100,23,30,6,12,1
Bihar,138,47,171,33,209,42,209,65,185,53,88,19,0,0
Chhattisgarh,28,14,84,14,108,22,119,29,65,19,42,20,10,4
Goa,1,1,2,1,5,2,3,2,10,4,9,10,0,0
Gujarat,48,19,115,25,278,59,257,54,223,52,85,54,17,5
Haryana,59,14,216,24,285,20,233,21,172,30,57,13,466,63
Himachal Pradesh,13,6,15,5,22,3,36,5,26,13,34,14,0,0
Jammu and Kashmir,0,0,20,0,42,2,3,3,15,3,0,0,0,0
Jharkhand,45,9,11,13,46,11,69,19,70,12,7,9,54,11
Karnataka,67,31,171,17,273,39,375,66,418,97,248,78,0,0
Kerala,21,9,10,6,39,7,70,13,284,80,531,166,20,1
Madhya Pradesh,123,54,230,34,291,51,258,50,190,57,107,32,79,13
Maharashtra,92,42,318,37,542,110,616,106,467,122,227,74,82,14
Manipur,5,4,2,0,3,2,3,2,3,2,1,2,2,1
Meghalaya,0,0,4,2,5,3,2,2,1,0,0,0,0,0
Mizoram,2,0,0,0,1,0,5,0,5,0,0,0,0,0
Nagaland,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Orissa,20,8,102,31,111,24,85,29,135,22,41,9,6,1
Punjab,55,25,25,12,88,38,51,31,45,29,36,16,0,0
Rajasthan,77,23,261,71,373,79,271,55,160,29,28,12,4,0
Sikkim,0,0,0,0,1,0,0,0,1,0,1,1,0,0
Tamil Nadu,16,12,53,42,86,45,127,91,208,119,142,103,0,0
Telangana,49,28,98,23,208,53,215,70,242,77,144,41,1,0
Tripura,4,0,12,5,15,2,10,3,7,1,5,1,0,0
Uttarakhand,9,8,30,3,41,10,50,7,27,5,7,6,3,0
Uttar Pradesh,162,59,342,80,321,73,255,60,190,41,96,23,59,11
West Bengal,150,75,275,20,485,47,558,94,717,153,211,83,54,11
Andaman and Nicobar Islands,0,0,0,0,2,0,1,0,2,0,1,0,0,0
Chandigarh,1,5,1,1,3,1,3,1,8,0,9,3,0,0
Dadra and Nagar Haveli,2,0,1,0,1,0,0,1,2,1,5,2,0,0
Daman and Diu,2,0,2,0,1,1,0,2,1,0,1,0,0,0
Delhi,19,12,67,13,65,14,55,11,45,14,24,11,13,1
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,3,1,9,5,7,2,3,4,9,1,5,0,0,0
Total ,1333,546,2889,584,4366,850,4377,994,4366,1164,2454,892,899,144
