States/Union Territories,Two wheelers (I) - Scooters,Two wheelers (I) - Mopeds,Two wheelers (I) - Motor cycles,Cars (II),Jeeps (III),Omni buses (IV),Tractors (V),Trailers (VI),Other vehicles not covered (VII),Total Non-Transport (I TO VII),Grand Total (Transport + Non Transport)
Andhra Pradesh,0,39511,869574,63421,8,5031,9022,5435,4370,996372,1115687
Arunachal Pradesh,6983,421,10151,6809,176,11,419,193,28,25191,28969
Assam,335000,0,NA,62949,0,118,10255,3047,0,411369,461574
Bihar,0,18517,1100906,59723,3702,0,34273,10920,14041,1242082,1350706
Chhattisgarh,165196,12012,339129,40854,492,1592,24741,4296,4148,592460,616934
Goa,37678,0,0,12309,0,0,99,0,96,50182,57817
Gujarat,1076397,96612,0,251101,0,0,46890,4575,8022,1483597,1633274
Haryana,0,2264,578007,34022,17103,59,37657,0,2939,672051,871915
Himachal Pradesh,0,3327,67913,50711,0,75,0,0,50786,172812,198955
Jammu and Kashmir,2223,41704,54331,57959,0,26,2551,170,1338,160302,176805
Jharkhand,393591,6766,0,52578,0,0,1,0,81255,534191,576988
Karnataka,1160971,0,0,180429,0,571,35839,12550,10499,1400859,1575627
Kerala,0,155,586717,191891,0,294,903,0,2765,782725,849200
Madhya Pradesh,0,23741,1231495,117827,0,256,256,87383,4665,1465623,1545921
Maharashtra,140884,21956,1581803,286376,15185,99,56535,11331,18123,2132292,2369426
Manipur,33877,333,150,13770,1414,2,60,41,96,49743,54053
Meghalaya,9300,0,7782,9681,0,0,21,15,1400,28199,33178
Mizoram,22932,0,0,4887,0,0,2,0,15,27836,31353
Nagaland,5514,0,0,7413,0,25,6,7,1580,14545,30605
Odisha,136343,30688,512302,48796,0,442,18411,7343,16789,771114,834841
Punjab,599428,219,312,102823,0,1,22178,35,12437,737433,776931
Rajasthan,1183045,NA,NA,103574,51562,0,70315,1058,5380,1414934,1512334
Sikkim,286,0,389,1153,979,0,0,14,9,2830,3852
Tamil Nadu,82948,95690,1388220,181274,0,96,23307,169,72456,1844160,1919410
Telangana,0,361,927978,134600,58,2196,36183,18381,5757,1125514,1234486
Tripura,4,0,44871,4650,0,0,1,5,3214,52745,58641
Uttarakhand,183274,0,0,38553,7,0,2568,118,2185,226705,245594
Uttar Pradesh,339524,85287,2411597,253317,74661,621,112588,501,8836,3286932,3529817
West Bengal,1026469,0,0,82318,0,0,21195,0,1030,1131012,1216865
Andaman and Nicobar Islands,0,857,5782,1945,0,41,1,0,16,8642,9009
Chandigarh,25786,30,0,17708,0,0,6,0,0,43530,45598
Daman and Diu,942,4599,4962,4172,0,2,33,5,25,14740,17050
Dadra and Nagar Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delhi,403614,2317,0,146177,0,0,17,0,3,552128,610828
Lakshadweep,361,0,858,28,4,0,7,0,0,1258,1426
Puducherry,47433,289,0,0,0,63,47,28,99,47959,56223
Total,7420003,487656,11725229,2625798,165351,11621,566387,167620,334402,23504067,25651892
