STATES / UTs ,Professional - Authorised to drive public Service Vehicles - Male,Professional - Authorised to drive public Service Vehicles - Female,Professional - Authorised to drive public Service Vehicles - Total,Professional - Others - Male,Professional - Others - Female,Professional - Others - Total,Non professional - Male,Non professional - Female,Non professional - Total,Total - Male,Total - Female,Total - Total,%age Share of total  Male Driver Licences,%age Share of Total Female Driver Licences,,,,,
Andhra Pradesh ,43897,286,44183,10491,132,10623,646452,49521,695973,700840,49939,750779,93.35,6.65,,,,,
Arunachal Pradesh ,1979,NA,1979,3162,15,3177,19669,4466,24135,24810,4481,29291,84.70,15.30,,,,,
Assam,1321,11,1332,4816,191,5007,247271,17969,265240,253408,18171,271579,93.31,6.69,,,,,
Bihar,13567,5,13572,5380,2,5382,865249,31420,896669,884196,31427,915623,96.57,3.43,,,,,
Chhattisgarh,1485,367,1852,NA,NA,0,641272,80885,722157,642757,81252,724009,88.78,11.22,,,,,
Goa,274,2,276,1659,14,1673,33622,17613,51235,35555,17629,53184,66.85,33.15,,,,,
Gujarat,40155,67,40222,32527,47,32574,655437,98988,754425,728119,99102,827221,88.02,11.98,,,,,
Haryana ,469,3,472,0,0,0,282422,51522,333944,282891,51525,334416,84.59,15.41,,,,,
Himachal Pradesh ,130,1,131,8104,8,8112,182980,18188,201168,191214,18197,209411,91.31,8.69,,,,,
Jammu and Kashmir,2287,0,2287,6749,0,6749,66163,18363,84526,75199,18363,93562,80.37,19.63,,,,,
Jharkhand,62,0,62,2,0,2,251374,22605,273979,251438,22605,274043,91.75,8.25,,,,,
Karnataka ,132658,1662,134320,0,0,0,1313676,192319,1505995,1446334,193981,1640315,88.17,11.83,,,,,
Kerala,1242,41,1283,20492,58,20550,692405,295787,988192,714139,295886,1010025,70.71,29.29,,,,,
Madhya Pradesh,64067,NA,64067,186,NA,186,613786,2186,615972,678039,2186,680225,99.68,0.32,,,,,
Maharashtra,161878,8773,170651,197922,5293,203215,941212,230038,1171250,1301012,244104,1545116,84.20,15.80,,,,,
Manipur,214,NA,214,990,0,990,30378,2661,33039,31582,2661,34243,92.23,7.77,,,,,
Meghalaya,3305,0,3305,NA,NA,0,35293,5627,40920,38598,5627,44225,87.28,12.72,,,,,
Mizoram,403,1,404,0,NA,0,12869,2799,15668,13272,2800,16072,82.58,0.00,,,,,
Nagaland,425,NA,425,459,NA,459,27498,2891,30389,28382,2891,31273,90.76,9.24,,,,,
Odisha,801,2,803,12445,20,12465,565824,55064,620888,579070,55086,634156,91.31,8.69,,,,,
Punjab ,26198,53,26251,46845,63,46908,470419,80064,550483,543462,80180,623642,87.14,12.86,,,,,
Rajasthan,NA,NA,0,68244,0,68244,599566,86988,686554,667810,86988,754798,88.48,11.52,,,,,
Sikkim ,1463,6,1469,19,0,19,4643,922,5565,6125,928,7053,86.84,13.16,,,,,
Tamil Nadu,0,0,0,198047,2015,200062,1153839,327009,1480848,1351886,329024,1680910,80.43,19.57,,,,,
Telangana,5187,26,5213,0,0,0,950847,84412,1035259,956034,84438,1040472,91.88,8.12,,,,,
Tripura,2349,4,2353,0,0,0,77682,3089,80771,80031,3093,83124,96.28,3.72,,,,,
Uttarakhand,4686,6,4692,1067,0,1067,124739,30163,154902,130492,30169,160661,81.22,18.78,,,,,
Uttar Pradesh,138739,268,139007,5223,48,5271,1385349,101082,1486431,1529311,101398,1630709,93.78,6.22,,,,,
West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Andaman and Nicobar Islands,398,0,398,74,1,75,2582,552,3134,3054,553,3607,84.67,15.33,,,,,
Chandigarh,0,0,0,726,1,727,14557,4401,18958,15283,4402,19685,77.64,22.36,,,,,
Dadra and Nagar Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,,,,,
Daman and Diu,121,0,121,45,0,45,3444,1178,4622,3610,1178,4788,75.40,24.60,,,,,
Delhi,5792,106,5898,3459,3,3462,211893,26326,238219,221144,26435,247579,89.32,10.68,,,,,
Lakshadweep,0,0,0,320,0,320,1175,165,1340,1495,165,1660,90.06,9.94,,,,,
Puducherry,13,NA,13,NA,NA,0,48132,7659,55791,48145,7659,55804,86.28,13.72,,,,,
Total,655565,11690,667255,629453,7911,637364,13173719,1954922,15128641,14458737,1974523,16433260,87.98,12.02,,,,,
